2013-01-29 15:14:23,674 [DEBUG] org.jboss.logging  - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2013-01-29 15:14:23,675 [INFO ] org.hibernate.validator.internal.util.Version  - HV000001: Hibernate Validator 4.3.1.Final
2013-01-29 15:14:23,681 [DEBUG] org.hibernate.validator.internal.engine.resolver.DefaultTraversableResolver  - Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
2013-01-29 15:14:23,682 [DEBUG] org.hibernate.validator.internal.xml.ValidationXmlParser  - Trying to load META-INF/validation.xml for XML based Validator configuration.
2013-01-29 15:14:23,685 [DEBUG] org.hibernate.validator.internal.xml.ValidationXmlParser  - No META-INF/validation.xml found. Using annotation based configuration only.
2013-01-29 15:14:23,885 [DEBUG] org.springframework.web.servlet.DispatcherServlet  - Initializing servlet 'spring'
2013-01-29 15:14:23,927 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Initializing new StandardServletEnvironment
2013-01-29 15:14:23,928 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Adding [servletConfigInitParams] PropertySource with lowest search precedence
2013-01-29 15:14:23,928 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Adding [servletContextInitParams] PropertySource with lowest search precedence
2013-01-29 15:14:23,930 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Adding [jndiProperties] PropertySource with lowest search precedence
2013-01-29 15:14:23,930 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Adding [systemProperties] PropertySource with lowest search precedence
2013-01-29 15:14:23,930 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Adding [systemEnvironment] PropertySource with lowest search precedence
2013-01-29 15:14:23,931 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
2013-01-29 15:14:23,932 [INFO ] org.springframework.web.servlet.DispatcherServlet  - FrameworkServlet 'spring': initialization started
2013-01-29 15:14:23,934 [DEBUG] org.springframework.web.servlet.DispatcherServlet  - Servlet with name 'spring' will try to create custom WebApplicationContext context of class 'org.springframework.web.context.support.XmlWebApplicationContext', using parent context [null]
2013-01-29 15:14:23,949 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
2013-01-29 15:14:23,949 [DEBUG] org.springframework.web.context.support.StandardServletEnvironment  - Replacing [servletConfigInitParams] PropertySource with [servletConfigInitParams]
2013-01-29 15:14:23,950 [INFO ] org.springframework.web.context.support.XmlWebApplicationContext  - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Tue Jan 29 15:14:23 BRST 2013]; root of context hierarchy
2013-01-29 15:14:23,975 [DEBUG] org.springframework.core.env.StandardEnvironment  - Initializing new StandardEnvironment
2013-01-29 15:14:23,975 [DEBUG] org.springframework.core.env.StandardEnvironment  - Adding [systemProperties] PropertySource with lowest search precedence
2013-01-29 15:14:23,975 [DEBUG] org.springframework.core.env.StandardEnvironment  - Adding [systemEnvironment] PropertySource with lowest search precedence
2013-01-29 15:14:23,975 [DEBUG] org.springframework.core.env.StandardEnvironment  - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
